разрез,значение,n,rmse
"расстояние между соседями, дн.",0-3,1048,0.06463
"расстояние между соседями, дн.",3-6,2233,0.05582
"расстояние между соседями, дн.",6-12,3248,0.06124
"расстояние между соседями, дн.",12-30,2060,0.06577
"расстояние между соседями, дн.",>30,619,0.08612
наблюдений в окне ±30 дн.,0-4,690,0.08446
наблюдений в окне ±30 дн.,4-8,1872,0.07102
наблюдений в окне ±30 дн.,8-14,3090,0.06104
наблюдений в окне ±30 дн.,>14,3551,0.05599
фаза сезона,апрель-май,2203,0.06802
фаза сезона,июнь-июль,3267,0.05923
фаза сезона,август-сентябрь,2750,0.06064
фаза сезона,октябрь,988,0.07294
вероятный источник,s2,3500,0.05732
вероятный источник,landsat,4771,0.06842
вероятный источник,modis,937,0.05833
группа полигонов,полигоны train,4958,0.05732
группа полигонов,полигоны test_features,2170,0.07163
группа полигонов,полигоны private_features,2080,0.06792
