протокол,набор,метод,n,rmse,gap_score
как при подаче,все контрольные строки,baseline организаторов,9208,0.09438,1.69
как при подаче,полигоны train,baseline организаторов,4958,0.0912,2.64
как при подаче,полигоны test_features,baseline организаторов,2170,0.10186,0.0
как при подаче,полигоны private_features,baseline организаторов,2080,0.0937,1.89
как при подаче,все контрольные строки,линейная интерполяция,9208,0.09174,2.48
как при подаче,полигоны train,линейная интерполяция,4958,0.08878,3.36
как при подаче,полигоны test_features,линейная интерполяция,2170,0.09914,0.26
как при подаче,полигоны private_features,линейная интерполяция,2080,0.09065,2.8
как при подаче,все контрольные строки,сглаживание + смещение (anchor),9208,0.085,4.5
как при подаче,полигоны train,сглаживание + смещение (anchor),4958,0.0815,5.55
как при подаче,полигоны test_features,сглаживание + смещение (anchor),2170,0.09249,2.25
как при подаче,полигоны private_features,сглаживание + смещение (anchor),2080,0.08502,4.49
как при подаче,все контрольные строки,модель,9208,0.06341,10.98
как при подаче,полигоны train,модель,4958,0.05732,12.8
как при подаче,полигоны test_features,модель,2170,0.07163,8.51
как при подаче,полигоны private_features,модель,2080,0.06792,9.62
полигон не встречался в обучении,все контрольные строки,модель,9208,0.06434,10.7
полигон не встречался в обучении,полигоны train,модель,4958,0.05822,12.53
полигон не встречался в обучении,полигоны test_features,модель,2170,0.07213,8.36
полигон не встречался в обучении,полигоны private_features,модель,2080,0.06942,9.17
